HJD,dmag,err
5766.73973,4.5537,0.0083
5766.7417,4.54,0.0086
5766.74289,4.5258,0.0085
5766.75196,4.52,0.0085
5766.75437,4.5276,0.0088
5766.75682,4.5525,0.009
5766.77111,4.5098,0.0089
5766.7736,4.4443,0.0099
5766.77586,4.5295,0.0095
5766.79486,4.5295,0.0091
5766.79819,4.5255,0.0092
5766.80268,4.5261,0.0093
5767.5297,4.3073,0.0092
5767.56681,4.2933,0.0092
5767.57323,4.3054,0.0096
5767.58051,4.2947,0.0093
5767.58425,4.2824,0.0092
5767.5922,4.3145,0.0095
5767.59508,4.2829,0.0094
5767.60927,4.2564,0.0094
5767.61671,4.2839,0.0093
5767.63056,4.3095,0.0092
5767.63628,4.2879,0.0092
5767.63927,4.2602,0.0093
5767.6429,4.2787,0.0095
5767.6506,4.2877,0.0094
5767.65493,4.2965,0.0091
5767.65734,4.2759,0.0093
5767.66575,4.3041,0.0095
5767.67044,4.2644,0.0092
5767.67771,4.2805,0.0095
5767.67862,4.2761,0.0096
5767.6795,4.2573,0.0095
5767.68039,4.2509,0.0097
5767.68128,4.2719,0.0099
5767.68218,4.2691,0.0095
5767.68307,4.2979,0.0097
5767.68395,4.2945,0.0099
5767.68484,4.287,0.0095
5767.68573,4.275,0.0098
5767.68663,4.2687,0.0101
5767.68752,4.2599,0.0098
5767.68841,4.2959,0.01
5767.6893,4.3049,0.0101
5767.69019,4.3126,0.0099
5767.69109,4.3329,0.0098
5767.69198,4.3,0.0101
5767.69288,4.2852,0.0098
5767.69376,4.2861,0.0097
5767.69465,4.2826,0.0098
5767.69555,4.2573,0.0096
5767.69644,4.2578,0.0098
5767.69733,4.2691,0.0101
5767.69822,4.2589,0.0098
5767.69911,4.2933,0.01
5767.7,4.2709,0.0098
5767.7009,4.2697,0.01
5767.70179,4.2722,0.0098
5767.70268,4.2807,0.01
5767.72078,4.2871,0.01
5767.72444,4.2624,0.01
5767.73002,4.3159,0.0106
5767.74012,4.265,0.0096
5767.74653,4.2494,0.0097
5767.7506,4.2863,0.0099
5767.75326,4.2801,0.0099
5767.76958,4.2701,0.0097
5767.77238,4.1847,0.0103
5767.77788,4.2578,0.0097
5767.78322,4.2497,0.0099
5767.78706,4.267,0.0101
5767.79154,4.2553,0.0103
5767.79835,4.2921,0.0106
5769.54165,3.9184,0.0117
5769.54801,3.9693,0.0122
5769.55232,3.954,0.0118
5769.56161,3.9711,0.0123
5769.57175,3.8858,0.0124
5769.58001,3.8438,0.0119
5769.58965,3.8539,0.0123
5769.5984,3.8559,0.0121
5769.60772,3.8515,0.0126
