HJD,dmag,err
5675.25176,1.2107,0.1323
5675.26286,1.3037,0.1095
5676.01469,1.1471,0.5677
5676.02578,0.4118,0.695
5676.0517,0.9499,0.2282
5676.06281,0.9614,0.1683
5676.07514,0.7128,0.1884
5676.09049,0.9099,0.1764
5676.1976,1.2899,0.4124
5676.21784,0.3374,0.4137
5676.22894,1.0926,0.1866
5676.24381,0.3939,1.0062
5676.25739,-0.7525,1.9713
5676.28084,-0.8558,4.1002
5677.08268,-0.1863,0.6636
5677.09377,0.2854,0.3713
5677.10611,-0.4425,0.7153
5677.11966,0.8313,0.1471
5677.13075,0.4893,0.214
5677.14309,1.0251,0.0975
5677.15985,1.1556,0.1153
5677.17342,0.2465,0.2901
5677.18575,1.1217,0.185
5677.20056,0.9501,0.1537
5677.27083,0.8035,0.2428
5677.94387,1.5882,0.0849
5677.95867,1.3415,0.0958
5677.97471,1.3228,0.0732
5677.99028,1.351,0.0783
5678.00423,1.3441,0.0874
5678.01907,1.2356,0.0763
5678.04305,0.6925,0.189
5678.05662,1.233,0.0641
5678.07142,1.1153,0.0888
5678.08745,1.234,0.0557
5678.10227,1.2533,0.092
5678.11638,1.1645,0.0615
5678.13977,1.4187,0.0611
5678.15265,1.165,0.0726
5678.16678,1.0209,0.0833
5678.18459,1.0581,0.0703
5678.19866,1.129,0.0694
5678.21277,1.0612,0.0776
5678.23664,1.0692,0.0825
5678.24951,1.0163,0.1339
5678.26362,1.017,0.1505
5678.93249,1.2362,0.1007
5678.9364,1.1496,0.0959
5678.94925,1.4932,0.066
5678.96335,1.154,0.0799
5678.98116,1.1348,0.0916
5678.99928,1.356,0.0582
5679.01412,1.1993,0.0682
5679.02823,1.2406,0.0634
5679.04638,1.2465,0.058
5679.06049,1.1924,0.0626
5679.0746,1.2655,0.0524
5679.09118,1.1281,0.0742
5679.10531,1.0575,0.075
5679.11946,1.39,0.0577
5679.13851,1.1542,0.0666
5679.15264,1.2257,0.0651
5679.16677,1.0532,0.0874
5679.18583,1.0431,0.0735
5679.20121,1.0958,0.0804
5679.21534,1.2813,0.0791
5679.93519,1.3947,0.0729
5679.94877,1.3751,0.0631
5679.96604,1.2683,0.0665
5679.98208,1.2149,0.0726
5679.98507,1.3497,0.0602
5679.99988,1.229,0.053
5680.0159,1.2398,0.0535
5680.04289,1.2102,0.0594
5680.05645,1.2745,0.0544
5680.07124,1.3225,0.079
5680.08728,1.2134,0.0569
5680.10084,1.1646,0.0576
5680.11441,1.0668,0.0786
5680.13476,1.2112,0.0623
5680.14832,1.3342,0.1027
5680.16312,1.3088,0.0562
5680.18164,1.3149,0.0785
5680.19644,1.1884,0.0668
5680.21001,1.132,0.067
5680.23328,1.1345,0.0703
5680.24685,1.2076,0.0668
5680.26164,1.1015,0.0734
5680.27769,1.247,0.212
5680.93312,1.1493,0.0787
5680.94546,1.2244,0.0825
5680.96273,1.1535,0.0612
5680.98014,1.1612,0.0751
5680.99495,1.0343,0.0639
5681.00974,1.2095,0.0678
5681.03282,1.1678,0.0649
5681.05009,1.0575,0.0629
5681.06489,1.1683,0.0759
5681.08923,1.2132,0.0676
5681.10404,1.1734,0.0784
5681.11885,1.1664,0.0803
5681.14104,1.0454,0.0707
5681.15584,1.0159,0.0627
5681.17557,1.1109,0.073
5681.19777,1.29,0.0797
5681.21383,1.2091,0.0718
5681.24078,1.16,0.072
5681.26243,1.1716,0.0589
5681.92202,1.112,0.0968
5681.92942,1.3039,0.1041
5681.943,1.4161,0.0759
5681.9615,1.1135,0.1276
5681.97752,1.2594,0.1711
5681.99356,1.1431,0.0714
5682.00959,1.1869,0.1107
5682.01082,1.305,0.0835
5682.02349,1.3343,0.0823
5682.03952,1.359,0.067
5682.05556,1.1892,0.1422
5682.07407,1.5435,0.087
5682.09011,1.2151,0.121
5682.10615,1.5644,0.155
5682.12809,1.3942,0.1284
5682.1359,1.3867,0.1198
5682.15315,1.3628,0.1157
5682.17287,1.3717,0.1337
5682.19384,1.3898,0.1124
5682.21242,1.1372,0.1313
5682.23096,1.2911,0.1214
5682.25317,1.2448,0.0999
5682.27045,1.2865,0.0878
5683.18015,-0.1378,3.8606
5683.21482,-1.2801,6.5196
5683.91982,1.4259,0.1458
5683.93586,1.4634,0.1469
5683.94942,0.305,2.1866
5684.03103,1.388,0.0666
5684.94785,1.2638,0.1501
5684.96142,1.5811,0.1406
5684.97745,0.9026,0.4279
5684.99225,0.7953,0.6216
5685.02692,1.2816,0.0574
5685.04927,1.0301,0.7993
5685.06429,1.3467,0.0551
5685.08157,1.2325,0.0638
5685.0939,1.3457,0.0652
5686.18273,0.9394,0.1784
5686.20124,1.1636,0.1359
5686.21604,-0.4349,1.1338
5686.23084,1.0778,0.1509
5686.2444,-0.449,0.9089
5686.25674,0.9859,0.0867
5686.27241,0.9203,0.15
5686.28599,1.1557,0.1762
5686.91573,1.4794,0.1962
5686.91695,1.6892,0.1233
5686.91872,1.1892,0.2078
5686.9323,1.544,0.0792
5686.94463,1.5655,0.0835
5686.95942,1.3494,0.1429
5686.97302,1.0636,0.3923
5688.13362,1.2345,0.1651
5689.90348,1.4263,0.0986
5689.90471,1.3449,0.0937
5689.90596,1.3582,0.0825
5689.91707,1.5163,0.0789
5689.95333,1.2717,0.1013
5689.96688,1.2966,0.0724
5689.98167,1.5834,0.0565
5689.99633,1.1208,0.0838
5690.00743,1.2148,0.062
5690.01853,1.3819,0.0609
5690.03086,1.3524,0.0579
5690.03612,1.3463,0.0835
5690.04658,1.3893,0.0565
5690.06068,0.694,0.9631
5690.07354,1.356,0.0665
5690.08888,1.4413,0.0721
5690.103,1.4056,0.0972
5690.11586,1.2027,0.1718
5690.14044,1.324,0.0532
5690.15701,1.3044,0.0648
5690.17112,1.337,0.0542
5690.18644,1.3483,0.0577
5690.20311,1.2988,0.0613
5690.216,1.2724,0.0661
5690.23279,1.1061,0.0626
5690.24691,1.2356,0.0682
5690.25978,1.2284,0.0692
5690.27511,1.1294,0.1165
5690.28921,1.8589,1.5381
5691.89642,0.4906,1.3965
5692.13708,-0.7839,3.7505
5692.16422,0.2333,0.6661
5693.92804,1.1228,0.1861
5693.94038,0.8608,0.1508
5693.95149,1.0258,0.1703
5693.96507,1.1682,0.1642
5693.97621,0.8513,0.2715
5694.11513,1.2265,0.0679
5694.13116,1.229,0.0693
5694.14349,1.2974,0.1203
5694.22977,0.4468,0.3983
5694.24334,0.7305,0.1943
5695.17201,1.0504,0.1859
5695.18557,1.2316,0.0864
